product_code;country;nat_value;operator
4015039;DE;998354;3126
1022959;FR;966825;5976
2031211;ES;989693;2665
4012011;AT;785210;6013
4015039;HU;970210;1312
1022999;FR;971968;5053
4012099;SK;1222840;9932
2031211;DE;1302451;1036
4061030;FR;1414032;334
2012090;ES;258017;4289
2031211;DK;747053;5017
2031211;ES;753754;6402
1022999;FR;1182194;3625
1022959;FR;992064;6736
2031955;ES;628563;5305
9012100;ES;922960;1204
4061030;DE;962882;1482
2101131;ES;925379;4598
3061792;DK;95615;1861
2031110;DE;924518;8923
3074335;ES;203703;1272
2031211;AT;883568;3155
2011000;NL;885987;1078
4059010;NL;114046;3106
4072100;PL;998344;7819
8021290;ES;985559;8896
4011090;AT;1292495;7667
4032091;GR;932655;7595
4061030;DE;879991;2514
4089180;PL;891074;1108
4064090;DE;911584;4643
4032011;GR;819970;9545
4061030;DE;1742467;5886
2050020;PL;890082;1569
4059010;DK;866220;534
2031211;ES;890891;602
4022118;FR;866543;343
4090000;HU;1035817;158
3021400;SE;945941;5460
2031211;BE;921070;4726
8105000;GR;622163;581
8023200;DE;919879;4598
8021290;ES;483497;638
4039091;FR;5908814;10306
4069092;FR;844853;10499
4051030;BE;848200;175
1022999;FR;667304;410
4069084;FR;998295;10345
4021019;DE;462183;9947
4081981;NL;845336;4222
2012050;PL;861203;3761
1022959;FR;930283;1558
2031211;BE;954797;2788
2012050;PL;842486;731
2032959;ES;79169;10345
2013000;ES;653142;802
2013000;IE;2091539;5886
8025100;LU;163659;682
4061030;BE;921773;2986
4061050;DE;597459;388
3028530;HR;837130;8149
3021400;SE;629820;9775
4089980;PL;1346166;1108
2012050;BE;657139;8382
2012090;ES;806216;6790
4061050;DE;805455;5140
2071310;PL;819934;1049
4032091;DE;826121;6376
4069089;DE;26238;6517
4069023;DE;773214;313
2031211;DE;1149863;7093
9012100;FR;767506;251
4061050;DE;766262;5959
2012050;PL;1039756;6790
4021019;FR;760608;4358
4061030;NL;1368908;205
1022959;FR;868990;833
3054100;PL;736469;7314
7102100;SE;758304;9256
4012099;AT;766802;83
4021019;DE;824693;2836
3021400;SE;408975;3624
3021400;SE;888280;6609
2072710;PL;510888;5017
2031211;ES;779726;9894
4041048;HU;29357;3561
2071310;SK;730559;1049
4032091;DE;742809;7661
2031211;FR;764032;2788
2012050;FR;647726;978
2031211;HU;676651;2788
4012091;CZ;794281;4598
4032011;GR;733033;7595
2012050;NL;662113;1419
2031915;ES;771533;5017
2031955;DE;1926593;366
2031211;DK;652879;9314
4061050;FR;993313;8646
7095600;RO;889918;3591
2031955;ES;312648;2922
2031110;FR;701567;5604
7095600;RO;985547;5280
4061050;PL;329740;9270
4051030;AT;29378;4466
8107000;ES;567833;4255
6029030;ES;1438542;808
8105000;BE;693839;582
4051019;BE;518499;2167
2031211;DK;781681;6402
2012050;FR;1034843;5046
2013000;IE;1347940;5305
8044000;NL;405368;9960
4021019;DE;623140;9121
2013000;PL;759145;5305
4032051;GR;670025;369
2031110;DE;631189;236
8025100;GR;661091;682
3021400;SE;302947;3035
3061799;DK;37838;1861
8105000;GR;327792;7179
2012090;DE;544951;3207
4063010;BE;619308;9076
4061050;NL;652869;9270
2031211;DK;542362;348
4051030;FR;507237;213
1022999;FR;646186;4124
2013000;IE;938466;5203
3048100;SE;296533;10176
3056200;DE;1506099;2267
4069089;DE;552188;4598
4012099;SI;595131;1920
9011100;DE;892457;279
1041030;RO;677334;8970
1022999;FR;378556;5359
2013000;IE;841410;431
2012050;FR;622493;5431
2031211;ES;479302;3971
2012090;NL;579499;1078
4069032;GR;440719;9545
2012090;DE;16102;1078
1022999;FR;609596;1326
3021400;SE;220732;8275
3054100;FR;588704;10671
4069001;FR;365754;10345
4012091;AT;606922;6013
2031211;PL;1287457;1589
2031955;DE;5497;3876
4069013;DE;1041791;8046
2031211;ES;585944;7623
4049083;DE;1042440;326
2031955;DE;1211895;1908
4022118;FR;573168;512
4032091;GR;429798;9545
3061799;ES;729982;8382
8044000;ES;566139;9960
2031211;ES;588975;2922
3061799;ES;386268;8306
4061080;DE;256935;3736
4051019;NL;735664;3442
2101131;ES;567318;6081
4015031;DE;298260;134
3061799;ES;9500;10593
4021019;NL;562960;512
4061050;DK;581436;9049
4012099;SI;762441;2514
4061030;AT;500454;6380
1022999;FR;593286;8480
4051011;DK;573043;6960
3028950;FR;8433;1304
2031955;ES;624757;10345
4011090;AT;626424;7501
2011000;NL;487250;8382
7019090;DE;409854;3298
9012200;DE;571692;251
2012090;FR;642385;560
4011090;DE;384007;880
7096010;ES;591136;5273
2031211;HU;464138;1589
9012100;NL;442773;4598
2013000;IE;508275;8382
3061210;NL;399073;4598
2031211;DE;557722;3465
1022130;DE;433979;1760
4062000;FR;241946;334
2032955;ES;952444;3488
4069078;NL;116807;9577
4012011;AT;891584;9049
8021290;ES;657705;9531
2032955;DE;273872;741
2031110;DE;548105;9837
4069099;DE;537641;4643
4061030;DE;477312;5601
1022999;FR;596165;3603
2012050;PL;268047;5305
4022118;DE;541134;98
7109000;FR;572865;8848
4012099;DE;549175;8071
4089980;ES;435541;1108
4032011;GR;533901;7746
8105000;GR;555966;4615
4069013;DE;695823;134
2031915;DE;2054577;4726
3021400;SE;527132;2912
2031955;ES;307024;8282
4061050;DE;428374;3379
2013000;DE;491385;8382
3048100;FR;363470;327
1022991;ES;729484;7486
4021019;FR;465782;511
8021290;ES;277987;10068
2013000;PL;549799;431
3061500;DK;125336;677
4032091;AT;131595;2463
4011090;DE;1111309;7667
4061050;DE;358619;7667
4061030;DE;499218;4422
2031915;DE;403150;7107
2041000;GR;507639;3173
2031211;ES;616029;3488
4061050;AT;761185;9049
2031955;DE;742508;2635
7032000;ES;888954;9691
2050020;RO;553811;10468
2012020;PL;515878;3761
2072610;HU;515294;5256
2031211;DE;501924;6402
4011090;FR;1545612;7667
6029050;ES;403028;2143
4012091;AT;664474;9049
3021400;SE;493147;904
4069023;DE;2203588;134
4069023;DE;486248;8292
1022999;FR;498299;3701
1022999;FR;94883;8175
2012050;PL;355765;4289
4021019;DE;3192;7588
1022999;FR;447098;3811
1022951;HR;493313;9837
3021400;SE;528993;5785
4051030;BE;489994;287
2031915;FR;432691;7623
7108095;BE;409640;5601
2012050;PL;538175;4894
2012090;ES;566609;5431
4029110;DE;1146693;6180
4051019;DE;684048;134
5040000;DK;476372;2880
7108069;RO;421892;6451
4069078;DE;545195;4598
4069013;FR;884497;10345
4039091;AT;1346120;9049
4051019;ES;657029;3993
2031211;PL;542533;2788
1022999;FR;392217;6238
2013000;IE;720057;6703
4032093;FR;476338;8646
3047110;DK;265097;39
2012020;PL;417396;481
4015039;DE;847669;8999
2050020;RO;213023;9543
2011000;ES;466344;9441
2064900;ES;1203721;4293
1041030;RO;488302;481
7141000;NL;11267;8878
3044100;SE;420506;10176
6031100;NL;262736;3248
4061050;FR;456976;10499
2011000;NL;454331;405
4012011;AT;306655;6517
2032955;DE;676020;3488
5051090;PL;478282;4161
7095600;ES;453318;5280
8132000;BG;1081054;1081
1022999;FR;462713;5978
2031211;DK;391457;4571
2012090;NL;513398;8382
2012020;PL;667819;731
8021290;DE;552278;4598
4039091;FR;442973;8646
1022999;FR;16064;1496
8021290;ES;442483;8600
7019090;FR;860237;7217
3061799;ES;165938;7186
7019090;DE;292883;10652
2032955;ES;726820;8282
2031211;NL;2388279;2788
2031211;BE;1123226;1589
4069063;RO;438172;40
2071190;GR;334785;64
3074331;ES;189350;5601
8039010;NL;330879;5135
7095600;BG;453433;5280
8119050;NL;423915;6055
8024100;PT;386841;581
1022949;FR;442770;379
2031955;ES;1087434;2654
4069021;DE;39673;10345
4051019;FR;286914;451
4063031;DE;331386;5658
4012099;SI;455925;9407
6029091;DE;211532;4598
9011100;BE;131884;277
3053211;PT;528994;1008
2031955;ES;371511;3589
4051011;DE;426587;4941
2031955;DE;610331;4726
4069021;DE;425081;5886
4012099;ES;478911;3156
4021019;FR;330944;2729
7032000;ES;391234;6990
2011000;FR;317530;236
1039110;DK;598528;7541
1022999;FR;506476;1478
8042090;GR;340451;2174
4012099;DE;425991;7600
3048100;DK;394320;327
4069086;DE;288433;313
1022959;FR;203710;7562
3061799;ES;418207;2303
4059010;BE;374021;770
2012050;FR;233884;1980
1022999;FR;413843;4632
3028530;MT;413334;2811
4059010;BE;410293;4910
8044000;NL;622252;10023
4041014;DE;78778;4072
8052200;ES;622956;1479
4061030;BE;409083;7123
2031211;DE;348575;354
6012030;NL;448494;7542
4032093;CZ;461462;10306
4090000;RO;406984;4301
4039013;DE;208787;4910
4012099;DE;411467;2813
2031110;DE;863431;4726
4061030;DE;389233;6517
2031110;FR;435157;1198
6031100;NL;207963;3099
4051011;DE;491476;4598
3021400;SE;266143;9463
4062000;PL;492239;609
2050020;ES;400018;10468
4041058;AT;403193;5685
2031110;FR;422064;8161
1022949;FR;397442;4299
3054100;EE;228720;6641
4061050;DE;393807;7186
2050020;RO;391176;1569
3048100;DK;391171;9256
3021400;SE;557259;5125
4049021;FR;503176;10345
4069001;NL;290005;6090
9041100;FR;382815;3012
3074335;ES;376317;3035
4039093;AT;1428203;9049
4069086;DE;540386;134
3074210;FR;391366;1304
4069069;FR;477893;450
4069069;FR;189989;3218
4069086;AT;374048;5983
1022951;HR;373795;10020
1039219;BE;208694;9496
2031955;DE;370152;4028
2031219;FR;466195;2142
2031211;FR;380200;7283
2031211;BE;635087;1036
4032091;AT;754668;9049
1022991;SI;368553;5077
8051022;ES;378230;4091
4069069;FR;366137;3175
3028530;GR;270062;8382
2031955;ES;418274;4289
4061050;DK;360558;388
4061050;DE;640866;8306
2032955;DK;242396;5540
2031110;FR;369866;965
3021400;FR;390966;4286
2012050;FR;175352;642
3053211;DK;179091;8003
3028410;GR;110710;8382
7096010;ES;422067;3927
3048310;NL;195495;5577
7070005;ES;518842;3049
8013200;DE;527978;4598
7019090;FR;418089;3758
1022959;FR;540376;410
4012099;PL;353235;2744
8024100;PT;351100;3499
2101219;NL;351004;10507
4069076;BE;472358;8046
2013000;IE;731001;802
2031110;DE;356093;9436
4071100;FR;378725;508
2011000;FR;416850;6649
4032013;GR;293797;369
4063039;FR;160813;10345
4029110;FR;354445;2916
1012910;FR;354399;604
2050020;PL;395872;208
2031211;DE;396576;7623
4059010;BE;343183;2836
2012090;NL;299768;6703
2101131;ES;391447;8282
4032093;DE;359694;7661
4021019;DE;2;3377
3028410;GR;350841;7763
8021290;ES;132026;8084
3056200;NL;448650;2267
1041030;FR;349445;4100
3054100;NL;349273;8864
2071410;DE;179269;5540
2031955;DE;452106;699
7020000;FR;314159;8306
3021400;FR;359488;6313
1022999;FR;731353;7562
2031955;ES;994349;7623
1022999;FR;176344;4341
2031913;FR;252087;2501
3075200;ES;277292;4942
8052200;ES;343506;6375
1022910;AT;37235;143
3028410;HR;345585;5785
4021019;NL;345168;6090
4069021;PL;343787;729
3074220;FR;348226;9246
4022118;IE;107684;2279
3055985;ES;237306;6703
1022959;FR;197131;3625
2031110;FR;285403;5305
3048700;ES;172536;10110
8029200;ES;224945;9531
8021290;ES;336109;8993
2013000;IE;364574;4289
1022991;FR;392892;5305
4069032;GR;335802;7595
8105000;GR;81619;3323
4069013;DE;517050;313
2031211;ES;328458;949
1022991;HR;1415016;2519
2013000;IE;405708;1354
3061799;ES;443888;1705
1022999;FR;333220;999
8044000;NL;80479;3953
4015031;BE;332241;175
4051019;DE;392007;10052
2013000;NL;338397;1354
2031110;DE;286690;3007
2013000;ES;4710;6790
4069069;AT;325205;313
3028410;GR;340475;3225
8105000;GR;281845;582
7123900;HR;315810;5624
7102100;FR;327563;9256
3047190;DE;154143;2303
4090000;RO;327449;158
2042230;FR;256702;964
2012050;NL;296984;3207
4022118;FR;215437;9947
4012099;SI;448173;5975
4021019;FR;322297;6854
2012050;PL;267678;405
7108095;BE;319873;3393
4011090;CZ;386620;2744
8044000;FR;308700;582
4069079;FR;319998;10499
8104030;ES;135040;9535
8121000;RO;348006;496
4061050;DE;319806;9352
4022118;PL;316161;10052
4012091;AT;92948;1386
7108095;PL;318962;3725
4015039;DE;236103;8071
4090000;ES;318441;3297
2031110;FR;217485;27
4012099;SI;317511;280
4069001;DE;454627;7818
2031211;ES;415978;699
7011000;NL;343853;894
2013000;NL;443541;431
4012099;DE;315015;3650
4012011;AT;314402;6412
7051100;ES;485347;9960
3028530;GR;233916;3225
2011000;ES;320379;7482
4069001;DE;471923;7553
2013000;IE;374868;1063
4090000;HU;311888;3251
4015039;PL;384185;2744
4015039;DE;76541;134
2031211;NL;402243;188
4069001;DE;542648;3020
2041000;FR;258514;481
2031110;DE;322580;9493
2031110;FR;333451;5148
4012011;CZ;331839;4598
1022959;FR;185554;6774
4032093;DE;363559;4598
2012050;BE;290391;236
9012100;BE;266596;845
1022999;FR;336944;6350
1022999;FR;179585;3083
4029910;ES;327644;1204
3022400;ES;283701;1304
4061030;DE;388024;6380
7095100;PL;372868;4707
4061030;BE;305941;5774
3028530;GR;313985;5125
4032011;GR;281893;4598
3028530;GR;282078;4194
8025200;DE;316661;506
6031100;NL;401340;4598
2050020;ES;308713;9116
4081981;PL;203383;1108
5119985;NL;226518;6347
1022999;FR;285794;935
2031211;PL;389253;6402
4012099;AT;386083;6023
4032093;AT;302185;9049
4051019;BE;252498;1168
4012091;AT;134729;6517
4032091;DE;302896;4598
8119050;LV;296966;8027
4069074;NL;184924;6867
4061080;DE;295244;2048
2011000;BE;295141;10331
4012099;DE;235870;7667
4063039;DE;330164;4650
7019090;DE;144811;987
2012090;NL;184155;139
7095600;RO;293085;7357
2031955;DE;121685;1354
7108069;RO;216863;6601
8071900;NL;420529;582
2031211;DK;335565;1040
3061500;DK;291641;5886
1041030;HU;303335;3346
2031955;NL;320531;4726
2012050;DK;290905;9402
4061030;DE;238800;10582
2031110;DE;309505;4368
4014090;ES;290159;1583
8021290;ES;797022;5949
4061030;DE;291075;313
4012099;SI;289256;7746
3061799;ES;49849;992
1022999;FR;368213;517
4061030;NL;288852;6380
7096010;ES;320512;813
2031955;NL;287147;1210
2031211;ES;237132;1335
7131010;HU;284539;6296
2031955;ES;548552;5017
2012090;DE;81558;3589
7131010;HU;285402;4843
1022999;FR;294447;1566
7103000;ES;302552;8848
1022959;CZ;342436;6683
2031211;ES;312793;1036
5051090;PL;726991;4249
7102100;FI;285536;9256
3061799;ES;147228;6412
4039091;BE;273754;10306
3061799;ES;499061;230
2071410;PL;290703;1049
4061030;DE;320141;17
4021019;FR;241623;9947
7102200;FR;298976;8848
2031110;DE;300696;4943
2011000;PL;40581;4686
4061030;DE;281616;6284
2032990;ES;370951;354
4051011;BE;281333;287
4059010;NL;5848391;2279
7082000;FR;296922;156
1022999;FR;280365;3055
3061500;IE;140370;5601
3021400;SE;143893;9498
8023100;FR;156164;2058
7019090;DE;150834;2157
4021019;PL;357660;9382
2050020;PL;279636;6687
3073110;ES;550632;8660
3074220;FR;282643;7763
2011000;BE;296150;9441
3054100;PL;125556;904
2011000;PL;108407;8487
2031955;ES;261906;2501
4012011;AT;276488;6527
6029099;DE;195481;4598
2013000;PL;281572;863
1022999;FR;427422;971
2031211;NL;674472;2217
3048100;DK;122194;4598
1022999;FR;276089;99
2013000;DK;447565;5886
2011000;BE;444707;236
3048100;ES;272302;5601
2050020;BE;285698;9668
2032955;DK;223762;354
2031211;NL;490458;8165
4061030;DE;272621;4556
2031110;FR;276013;928
3054100;PL;278541;3764
4021019;PL;181183;1846
8105000;GR;329481;32
4069089;DE;269933;2048
4021019;DE;270316;2279
4022118;DE;46521;4358
3021400;SE;353194;4566
3072290;DK;9914;9003
3028990;ES;61308;8382
7095100;PL;281932;6079
2012090;NL;266176;3589
3047411;DE;281117;10721
3061500;IE;313476;8689
8081080;DE;258032;2585
7019090;FR;349567;1351
2050020;ES;278677;1569
7096010;ES;345073;9609
6042020;DK;169986;129
2081010;ES;265950;3637
3054100;FR;201844;7314
2012020;DE;729722;8287
2011000;FR;288761;5604
7019090;FR;285030;5358
2013000;FR;250949;5203
8055010;ES;349652;8382
3055190;PT;260377;39
4051019;NL;405585;388
2031211;DE;480649;1040
2013000;DE;327336;4894
4071911;FR;263981;2967
1022999;FR;220565;560
1022999;FR;206570;1924
2050020;PL;275448;481
4021019;IE;262440;2279
4021019;PL;258630;2836
8024100;PT;217547;815
2031211;PL;400641;7093
1022959;FR;362590;2202
4069076;DE;279555;4598
4032019;DE;334190;4598
4014090;FR;289693;2069
2031955;AT;57598;4726
2032955;DK;319106;3488
1022991;FR;274106;1471
4041002;FR;299567;4997
1022999;FR;306218;6184
3028410;GR;282616;1304
4012099;SK;172525;783
1022999;FR;304711;2569
7082000;FR;281009;4443
7096010;ES;289890;2941
4069086;LT;254022;609
3028530;GR;259746;1304
2013000;IE;251444;6284
8121000;BG;461190;2100
2012050;NL;238742;6703
3053211;DK;44955;39
1022959;FR;110035;971
4021019;NL;320498;10052
6029045;GR;250190;3334
3028410;GR;510709;7942
4012099;DE;275446;7272
7051100;ES;264487;8286
8044000;FR;276283;10023
4061030;DE;251415;1261
2031211;FR;246727;1198
4072100;RO;277791;7819
1022999;SI;250907;9837
2031211;ES;356928;4373
2031955;ES;260775;481
3044100;DK;152251;1304
7115100;PL;175796;141
4012099;DE;253202;5015
7123900;RO;240784;3696
2061098;NL;229571;8382
7132000;FR;236036;10485
8023100;FR;123106;8382
4021019;PL;336870;10052
8044000;FR;265610;6708
4061050;DE;392605;4942
3061799;ES;194023;2048
2031211;DK;247896;311
2031959;ES;373894;5795
1022999;FR;249972;938
4069021;PL;240777;2514
3021400;SE;185667;5601
4069086;LT;246175;700
3047415;ES;168765;6517
8021290;ES;241909;5055
1012910;PL;245524;8310
2011000;HR;248211;2948
8105000;GR;309342;6270
2012050;HR;233525;2931
2031211;NL;597314;241
1022949;FR;193085;6736
8102010;FR;474618;3953
2012050;HR;257301;2948
2011000;ES;263921;9295
2031211;HU;187308;214
3073110;ES;246479;2190
8045000;NL;4457;9960
3061799;BE;243123;8726
8044000;FR;115595;9960
7115100;PL;251844;1718
8054000;CY;218692;1992
4069086;DE;245615;2250
4062000;DE;233922;6517
2031955;FR;245669;8382
7108069;RO;211067;7245
7095600;RO;344303;3445
2012050;NL;218857;6512
3028530;GR;243587;7763
3047190;ES;16047;7922
7019090;DE;105803;894
1022999;FR;30299;9157
7131010;HU;236084;198
8135039;DE;393790;4598
3074329;FR;314789;329
2031211;DE;253255;2217
2031955;DE;396634;3368
2013000;ES;6307;194
7019090;FR;180917;8878
4081981;FR;241283;4222
2013000;PL;286963;405
3022300;HR;233330;3035
2031955;ES;274930;8382
2013000;DK;299252;5203
7052100;NL;174355;9960
4015039;BE;236436;287
3074335;ES;236380;1507
8119050;NL;235618;8027
6029091;NL;246407;1915
7020000;ES;252054;6375
4069023;DE;118337;5601
3048990;NL;102664;4028
4069032;GR;238677;3287
8021290;ES;331859;8535
4069069;EE;349435;609
3061799;ES;155132;6159
4012091;AT;236007;6527
4069092;DE;232798;4643
3074335;ES;232759;6793
8021290;ES;226936;5241
1022991;HU;65767;5305
3028410;GR;253206;5125
3072110;FR;271598;1304
8024100;ES;232043;6192
2031955;DE;230832;7283
4029931;BE;218235;287
4041002;NL;21582;5698
4069089;DE;231730;6950
1022949;FR;36630;833
4015039;BE;783066;2744
3047190;NL;230620;1861
4012099;DE;233846;1491
2101981;ES;49409;354
2032211;DK;47613;8165
8022100;PL;184462;9481
2101981;ES;241808;6081
4090000;HU;535621;1648
9012100;FR;112178;798
4015039;NL;136291;770
2041000;FR;227906;8970
3074329;FR;228586;10579
4022118;FR;227465;6524
2011000;NL;156225;10593
2101131;ES;276803;4942
4090000;HU;520393;744
7102100;DE;210008;10721
4061050;DE;226342;1317
3061792;ES;225509;5601
8051022;ES;201713;9609
3061500;XI;309253;3035
8039010;NL;225420;10684
4069092;FR;235412;6567
8107000;ES;109118;10164
7020000;ES;225771;1254
4090000;ES;224623;744
2011000;ES;122086;7100
4022118;IE;392019;9947
3071190;FR;292668;9550
4061050;NL;667984;6950
3047415;ES;276620;4598
4015039;BE;197021;3645
2011000;FR;169554;7084
2031211;DK;183997;1335
2031110;DE;222987;9560
2031110;FR;280414;9410
8012200;DE;332110;4598
7096010;ES;227069;399
2012090;ES;284108;9350
2031211;FR;356832;6402
2031211;ES;239150;7093
7109000;DE;232878;10721
2023090;NL;225556;2469
2012090;NL;47200;194
4069092;ES;220751;563
4069013;DE;336060;4422
1022999;FR;205957;6195
3074220;FR;505054;1304
8021290;ES;218569;923
2072610;PL;183287;1461
2011000;FR;179543;642
2031211;ES;221269;2217
2012020;PL;57718;6089
2031211;PL;421874;1036
4069023;DE;432828;205
2050020;BE;269640;3976
4021019;DE;288711;783
4061030;DE;217684;7746
8107000;ES;546475;9960
3075200;ES;217246;8306
1022999;FR;217905;7256
3054100;SE;170452;10671
2012050;NL;194112;3761
4061050;NL;112600;9177
2012050;FR;216895;1638
2012020;PL;215870;9837
2013000;FR;258445;7705
1022999;FR;215473;6739
2031955;DE;199363;965
2011000;NL;220552;8742
1022999;FR;194539;4056
2031211;NL;435104;1036
1029099;FR;214015;9371
4069023;PL;213012;3863
6029099;NL;83314;4598
7019090;FR;206626;2157
2050020;RO;213085;9377
1022959;IE;212829;4145
7095600;BG;218363;4855
2012050;ES;207717;7482
4061030;XI;328884;7123
2072610;ES;210915;7623
1022951;SI;146249;5077
2031955;ES;232822;9492
2031955;HU;187469;214
4061030;NL;598784;3561
2031211;NL;168478;4373
4011090;DE;149663;821
2012050;FR;174818;888
4061030;FR;209908;457
3021400;SE;347504;3764
4069021;IE;83668;6960
2031211;ES;157077;799
3044100;DK;209780;9740
1022991;FR;308848;5714
3061500;IE;363772;2808
3074335;ES;212592;2525
4090000;RO;276995;318
1022959;FR;192518;3811
2011000;DE;27072;5305
3035700;ES;207280;8486
4069023;DE;209834;9577
3074220;FR;243599;10110
2031110;NL;176199;5148
4029910;DE;29561;4358
2012090;ES;53192;5604
4069013;DE;206840;6867
7115900;HR;207303;5624
3074335;ES;627764;2808
2031955;DE;206820;5044
1022999;FR;166539;2210
3054100;DK;217871;10267
4041014;DK;159926;84
8119050;BG;176600;7268
6029091;NL;130791;4598
4069092;DE;707515;4598
8109075;ES;5175;6375
7096010;ES;164703;3739
4061080;DE;204862;5886
6029091;NL;164650;4942
8023100;FR;102670;236
2031211;NL;529662;1035
7095100;PL;217669;7874
2031110;DE;288405;8287
4061030;BE;204187;2837
2011000;DE;124849;9936
3074399;ES;95640;5601
4039051;AT;626649;9049
3054100;DK;170226;5601
3048990;NL;202451;5601
4022118;DE;203031;752
7082000;FR;21389;6496
4069099;GR;287849;6879
1022999;FR;206281;3201
2012050;NL;208416;7482
3074338;ES;23490;2303
3024700;ES;192463;1304
7019090;FR;219337;3268
1022999;FR;202661;4037
1012910;PL;202073;3564
2081010;HU;201524;5256
4012099;DE;204897;2242
2031955;HU;201744;4091
1022959;FR;393839;599
3028530;GR;205101;8864
7108095;PL;30421;1046
3021400;SE;199610;7718
1022999;FR;208781;1102
4011090;FR;330170;7253
2023090;PL;200179;1070
2012050;PL;248463;873
8021290;ES;78357;4598
2031211;DK;251490;2922
2012050;DK;200498;10331
2071410;NL;105271;9517
8061010;ES;312668;382
2012090;PL;37418;4894
7095100;PL;238050;6840
7108095;BE;259314;6284
3061799;ES;46162;4091
7133390;PL;198499;283
4032013;DE;255927;4598
7019090;FR;438725;6720
8051022;ES;10122;4255
2031110;FR;211449;4368
7032000;ES;198001;2263
2042230;FR;235724;5203
3074220;ES;82265;8382
